22,MALE,Sam,UI/UX,903260,38,Ann@gmail.com
29,MALE,Ann,UI/UX,458198,41,Jennifer@gmail.com
28,MALE,Jennifer,J2EE,448704,37,Jennifer@gmail.com
28,MALE,Jennifer,Cloud,808250,85,Matt@gmail.com
22,FEMALE,Matt,UI/UX,586714,63,Jennifer@gmail.com
20,MALE,Jennifer,DSA,625005,54,Sam@gmail.com
27,MALE,Sam,J2EE,162397,73,Matt@gmail.com
26,FEMALE,Matt,Cloud,275020,52,Ann@gmail.com
28,FEMALE,Ann,UI/UX,562617,95,Jennifer@gmail.com
21,MALE,Jennifer,DSA,954555,63,Ann@gmail.com
29,MALE,Ann,J2EE,166986,97,Sam@gmail.com
30,MALE,Sam,J2EE,727913,35,Ann@gmail.com
27,MALE,Ann,Big Data,463662,65,Jennifer@gmail.com
22,FEMALE,Jennifer,J2EE,695361,52,Ann@gmail.com
29,FEMALE,Ann,UI/UX,165443,54,Jennifer@gmail.com
24,FEMALE,Jennifer,Cloud,247344,92,Matt@gmail.com
20,MALE,Matt,Big Data,960349,85,Sam@gmail.com
28,MALE,Sam,J2EE,198723,31,Ann@gmail.com
28,FEMALE,Ann,J2EE,760381,43,Sam@gmail.com
25,FEMALE,Sam,Big Data,272767,84,Ann@gmail.com
